User_id,is_converter,has_purchased_ever,first_seen,last_seen,R_quartile,F_quartile,RF_segment
51443820326,0,0,2019-05-11 13:37:00,2019-05-11 14:05:00,,1,
51448162784,1,1,2019-01-11 10:33:00,2019-12-12 19:22:00,4,2,42
51455512201,1,1,2019-09-10 10:00:00,2019-10-19 19:12:00,3,1,31
51462598385,1,1,2019-05-12 12:20:00,2019-12-20 21:15:00,4,2,42
51463622150,1,1,2019-10-13 19:18:00,2019-11-12 21:27:00,4,2,42
51465529647,1,1,2019-02-05 12:22:00,2019-12-12 21:15:00,4,2,42
51468519074,1,1,2019-03-11 15:00:00,2019-11-13 12:00:00,1,1,11
51472029210,1,1,2019-06-11 14:09:00,2019-10-22 11:03:00,1,1,11
51475146821,0,0,2019-04-11 22:03:00,2019-04-11 22:26:00,,1,
51477448981,1,1,2019-02-11 15:08:00,2019-11-15 19:10:00,4,1,41
51480378215,1,1,2019-04-09 12:30:00,2019-10-24 21:26:00,3,2,32
51481443687,1,1,2019-04-11 23:35:00,2019-08-20 21:30:00,2,2,22
51486113570,1,1,2019-08-10 17:22:00,2019-08-10 19:08:00,2,1,21
51508416101,1,1,2019-04-11 17:50:00,2019-04-11 18:19:00,1,1,11
51512259423,0,0,2019-10-28 15:23:00,2019-10-28 15:25:00,,1,
51517997197,1,1,2019-06-07 16:11:00,2019-10-22 18:12:00,3,2,32
51520340170,0,0,2019-02-11 14:43:00,2019-02-11 15:00:00,,1,
51526464449,1,1,2019-09-13 11:11:00,2019-10-31 17:11:00,3,2,32
51535548031,0,0,2019-10-17 13:00:00,2019-10-17 13:08:00,,1,
51544071846,1,1,2019-10-14 17:18:00,2019-10-15 15:13:00,3,1,31
51558926605,1,1,2019-10-22 13:14:00,2019-10-22 13:35:00,3,1,31
51559049343,0,0,2019-08-10 21:45:00,2019-08-10 21:45:00,,1,
51559552625,0,0,2019-06-10 17:10:00,2019-06-10 17:24:00,,1,
51560282867,1,1,2019-05-10 12:00:00,2019-06-10 12:25:00,1,1,11
51563947377,0,0,2019-10-15 23:18:00,2019-10-15 23:18:00,,1,
51565158157,1,1,2019-06-11 14:53:00,2019-10-28 19:26:00,2,2,22
51572478237,0,0,2019-03-11 14:11:00,2019-03-11 14:52:00,,1,
51574504569,0,0,2019-01-11 10:39:00,2019-01-11 11:14:00,,1,
51576830037,0,0,2019-02-11 15:16:00,2019-02-11 15:37:00,,1,
51585704576,1,1,2019-01-11 10:30:00,2019-03-11 19:51:00,1,1,11
51589427926,1,1,2019-04-03 11:00:00,2019-10-23 20:23:00,3,2,32
51590616683,0,0,2019-04-11 20:53:00,2019-04-11 21:17:00,,1,
51591878847,0,0,2019-10-10 21:11:00,2019-10-10 21:11:00,,1,
51592642763,1,1,2019-03-11 13:42:00,2019-04-30 13:02:00,1,2,12
51594471927,0,0,2019-11-10 11:18:00,2019-11-10 11:30:00,,1,
51596197877,1,1,2019-04-11 11:07:00,2019-10-24 11:40:00,3,2,32
51597745082,0,0,2019-04-11 17:33:00,2019-04-11 17:48:00,,1,
51607023962,0,0,2019-10-21 23:14:00,2019-10-21 23:17:00,,1,
51613127728,0,0,2019-10-23 23:50:00,2019-10-23 23:59:00,,1,
51613167885,1,1,2019-01-10 22:12:00,2019-10-31 15:28:00,3,1,31
51616505593,0,0,2019-02-10 19:23:00,2019-02-10 19:42:00,,1,
51624877138,1,1,2019-06-19 14:08:00,2019-10-14 13:15:00,1,1,11
51626168971,1,1,2019-01-10 19:00:00,2019-10-21 17:14:00,3,1,31
51629142904,1,1,2019-01-10 15:00:00,2019-09-03 18:10:00,2,2,22
51632985791,0,0,2019-09-10 11:04:00,2019-09-10 11:14:00,,1,
51633993644,0,0,2019-10-17 23:22:00,2019-10-17 23:34:00,,1,
51637676508,1,1,2019-03-11 11:09:00,2019-03-11 14:34:00,1,1,11
51639618110,0,0,2019-07-10 17:18:00,2019-07-10 17:23:00,,1,
51645696004,1,1,2019-07-10 11:24:00,2019-10-21 18:09:00,3,1,31
